,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
300,tamiahua,1,US,1584478526,38,45.51,-92.98,46.0,5.82
301,tamiahua,1,CA,1584478364,60,54.32,-130.32,42.8,5.82
302,tamiahua,40,BR,1584478560,38,-16.97,-48.95,89.6,5.82
303,tamiahua,100,GL,1584478561,72,66.94,-53.67,4.37,17.2
304,tamiahua,0,JP,1584478562,65,35.13,140.3,45.0,8.05
305,tamiahua,1,US,1584478276,73,64.86,-147.8,33.01,6.93
306,tamiahua,67,MW,1584478564,94,-14.98,34.96,67.37,5.39
307,tamiahua,0,PT,1584478565,82,41.19,-8.46,62.01,5.82
308,tamiahua,92,MN,1584478566,90,48.81,103.53,15.53,3.53
309,tamiahua,20,NZ,1584478567,64,-39.48,175.67,47.75,4.92
310,tamiahua,99,MV,1584478547,77,2.92,73.57,84.29,17.29
311,tamiahua,100,UY,1584478569,44,-32.68,-57.63,80.33,10.6
312,tamiahua,47,PY,1584478570,33,-25.95,-55.92,96.17,4.38
313,tamiahua,20,PA,1584478431,49,8.99,-79.52,93.2,19.46
314,tamiahua,66,GN,1584478572,78,8.68,-8.63,73.13,8.52
315,tamiahua,1,US,1584478574,52,46.73,-117.18,53.01,5.82
316,tamiahua,0,MG,1584478500,97,-14.88,47.99,73.67,1.52
317,tamiahua,64,BF,1584478576,8,12.07,1.79,87.17,6.02
318,tamiahua,0,BF,1584478577,11,12.65,0.49,83.75,5.35
319,tamiahua,75,BR,1584478383,74,-9.67,-35.74,82.4,5.82
320,tamiahua,20,SJ,1584478579,75,78.22,15.64,-18.4,4.7
321,tamiahua,75,NO,1584478580,86,65.46,12.2,39.2,21.92
322,tamiahua,90,US,1584478581,94,21.39,-158.15,78.8,14.99
323,tamiahua,0,CN,1584478582,22,39.5,106.71,42.71,18.86
324,tamiahua,0,ZA,1584478583,65,-32.25,24.53,72.0,7.0
325,tamiahua,100,RO,1584478543,39,46.43,26.4,50.0,2.24
326,tamiahua,90,NA,1584478586,63,-18.06,13.84,72.05,8.55
327,tamiahua,0,BR,1584478385,75,-9.01,-35.22,83.57,12.8
328,tamiahua,20,CO,1584478588,54,4.76,-76.22,84.2,4.7
329,tamiahua,40,PT,1584478589,63,32.65,-17.07,60.8,17.22
330,tamiahua,20,CL,1584478590,59,-41.87,-73.82,64.4,6.93
331,tamiahua,75,ID,1584478591,88,-6.26,107.07,80.01,2.24
332,tamiahua,0,CL,1584478592,24,-26.37,-70.05,78.17,12.08
333,tamiahua,56,NL,1584478447,65,52.37,4.89,50.0,11.41
334,tamiahua,0,MN,1584478594,55,48.01,91.64,26.33,0.96
335,tamiahua,100,TZ,1584478595,97,-8.9,33.45,59.27,2.17
336,tamiahua,0,CN,1584478596,19,36.53,114.11,53.87,9.51
337,tamiahua,75,MA,1584478597,87,35.17,-2.93,60.8,16.11
338,tamiahua,67,GB,1584478599,87,50.86,0.57,48.99,12.75
339,tamiahua,90,IS,1584478600,95,66.04,-17.34,32.0,28.86
340,tamiahua,90,US,1584478601,60,43.71,-98.03,42.8,17.22
341,tamiahua,90,AU,1584478570,56,-28.77,114.6,69.8,13.87
342,tamiahua,75,GQ,1584478603,83,3.46,8.55,81.41,10.78
343,tamiahua,86,AR,1584478604,50,-26.62,-54.13,84.11,2.08
344,tamiahua,30,MA,1584478491,92,32.3,-9.24,50.27,11.7
345,tamiahua,75,CN,1584478606,100,25.28,110.29,55.4,4.47
346,tamiahua,3,PH,1584478607,84,12.48,123.38,75.83,8.86
347,tamiahua,40,PF,1584478608,66,-17.57,-149.87,87.8,10.29
348,tamiahua,75,RU,1584478609,93,54.48,53.47,26.33,6.82
349,tamiahua,68,CN,1584478610,95,23.7,103.3,57.47,8.81
350,tamiahua,75,MZ,1584478612,94,-19.12,33.48,69.8,4.34
351,tamiahua,75,KZ,1584478613,69,50.13,82.52,39.2,8.95
352,tamiahua,20,MZ,1584478573,78,-17.88,36.89,80.6,4.7
353,tamiahua,49,MW,1584478615,92,-13.53,33.74,62.87,3.62
354,tamiahua,0,GL,1584478411,57,60.14,-45.24,19.85,14.27
355,tamiahua,0,CN,1584478617,23,37.46,118.49,56.57,11.61
356,tamiahua,40,US,1584478618,86,57.79,-152.41,39.2,2.93
357,tamiahua,1,US,1584478481,38,45.18,-89.68,41.0,11.41
358,tamiahua,90,US,1584478550,53,39.18,-84.53,53.01,4.7
359,tamiahua,75,MY,1584478621,83,1.51,103.51,80.6,4.7
360,tamiahua,90,RE,1584478584,94,-21.37,55.62,75.2,8.05
361,tamiahua,100,CN,1584478624,45,43.8,87.6,44.6,6.71
362,tamiahua,20,SB,1584478625,94,-9.43,159.95,77.0,2.24
363,tamiahua,75,CN,1584478626,61,29.58,105.06,58.37,3.85
364,tamiahua,40,AU,1584478627,93,-41.45,147.17,59.0,6.93
365,tamiahua,75,BR,1584478628,74,-21.64,-41.05,80.6,11.41
366,tamiahua,0,MX,1584478629,27,18.97,-91.18,95.45,5.37
367,tamiahua,100,RU,1584478630,96,66.84,32.36,25.07,5.79
368,tamiahua,75,AM,1584478631,93,40.12,44.73,44.6,2.24
369,tamiahua,4,RU,1584478632,92,68.05,39.51,19.67,15.28
370,tamiahua,40,GR,1584478633,50,35.01,25.74,54.0,18.34
371,tamiahua,20,MU,1584478634,94,-20.01,57.66,75.2,2.24
372,tamiahua,40,GA,1584478542,79,0.39,9.45,86.0,8.05
373,tamiahua,100,MN,1584478637,75,46.68,113.28,24.89,6.62
